10000000 89749
1580529 5009190 841928
3404625 5420107 239265
1456448 2377579 107517
813880 5088312 919013
5587923 7877775 520296
2951887 4205158 92519
1278651 1723914 528468
5412985 7440877 431961
1579440 5411157 568445
3846316 5009654 29039
2901760 7840575 289989
556982 7370246 277214
4733676 4961719 904614
621640 5666693 180994
3258598 6156358 628175
2913159 7321056 34096
6965472 7417411 475190
1405572 1977058 216136
3536503 7264301 583828
3798333 3825139 866825
197273 2328591 350341
2292882 5270006 466144
4875431 5418522 17286
3274108 4596451 703993
5857655 6680596 128757
1326663 1562312 660292
2418486 3534273 890815
3743610 4897818 655828
314056 987565 888687
1745674 7269695 709524
3571737 6597614 231316
1427709 6137909 402356
7245394 8103461 68833
2763988 5706936 167351
3700582 7531032 517724
1400111 8367055 345875
3003214 7492244 896873
2462906 4789785 960189
5170176 6207980 789131
5465527 8020941 162684
2312899 6656076 633276
1075996 6754907 58354
6643974 8550966 536646
3138396 6373238 800160
470122 6688454 307929
4980871 5924008 930494
4139056 7281799 94219
1277789 1533733 495420
2787983 4272619 637722
739726 4372363 987440
132425 2775897 291927
4995278 8251124 395430
2976855 4709800 822437
71292 625706 223967
597449 3920908 444130
5061949 7317832 987427
2947609 3522272 42322
3452805 5390751 214367
492414 2867580 688243
873162 1657465 402397
110896 5539755 420128
3034200 8748436 401629
4493789 4611017 896896
2717199 3507416 841843
2345302 7216545 985553
4091903 5476357 810828
2451658 7487363 343985
3267332 8263434 990928
2195900 2362149 440518
3968427 4115568 534145
3558222 6621974 121630
1438715 5213729 936661
3394069 8277566 262652
6084707 7402282 711890
720633 5910039 154643
7693021 7808235 770748
4809306 6834554 626974
2750936 3090030 935791
669793 6394517 890181
6827179 7827052 487148
2209870 4039892 310486
3222827 6658639 430150
3229828 4278982 871904
415744 2974741 786562
4660305 8827151 323518
7138772 7526324 1985
998060 3061436 285421
2436216 3541943 716542
1253554 2593022 337342
1254249 5472972 4787
5449983 7792552 542853
3681403 4553825 414995
1490658 4075645 751073
359034 4497254 521641
99207 2740412 195719
1534061 3753840 819734
2610733 3393947 482026
2109089 7159941 752612
2078124 8016150 691280
2818970 5611240 7518
4027163 7266891 868886
3525374 5358936 467946
861775 1524854 772724
946495 5046106 679127
2293499 4527831 304633
2044960 3199261 342505
1046306 3961225 686777
381661 4387516 794089
1408966 6959168 317138
1197393 5060851 954764
974606 7348999 509450
5782344 6763003 407469
1032384 4325661 439908
1124996 2331045 369648
2578154 7701334 962471
1362022 7382669 556684
3400002 7169813 478258
5446380 6659520 642773
40055 7786132 131350
2381339 5779238 618775
4487546 6431533 266936
2440430 6334876 705499
5398503 7390617 759631
1142528 3861884 425927
6315690 6560014 932697
417682 1377436 949499
612240 7020431 939942
3429902 8284094 17889
691481 3767740 781285
3179948 4582224 752301
1467241 6753211 862291
3056936 5924416 660579
3594623 6232051 615198
1205624 8543385 842036
860744 7283154 399623
4067210 7866840 266094
5407293 5905685 930304
1770861 3190889 352708
2668221 3791143 653625
5064679 6077872 714569
6833885 7685583 148193
4701412 8270395 35851
4368612 5980800 279430
5017821 8156697 440511
4328180 7018792 417723
917094 1701157 573157
3467138 7965633 659875
3622748 7206529 286957
2592682 3278093 236509
2351407 6250991 328429
1789720 2802250 17076
240356 1370928 717427
2040847 3200393 751155
6366882 7557411 724734
2337141 6737131 460011
599434 5268122 970423
1157551 7209476 10068
437631 3040632 160258
1093667 7884843 80389
812810 2349751 449379
3030990 3898397 58372
3328733 4928012 326935
856380 2151468 979889
1421701 3979241 323817
2630247 6442107 764782
3983808 5459608 334511
985364 2617445 536356
2312666 2936613 878374
730420 1897314 365939
2883800 2938618 141748
2974219 3842851 690459
5223395 5362853 547783
196088 2032799 784366
3503903 6918394 260186
2193827 6902828 663323
3908183 4779099 932937
4599381 7579680 781512
713127 3261601 921163
4804198 6510776 476571
4536705 7685143 777770
1284077 4598291 847392
6482830 8127494 220970
50509 357574 510078
4350706 5734547 899711
1067843 1532192 295807
4148125 5211388 85985
3235305 3603192 734522
5569767 7799723 883014
1712264 7015407 832038
1558877 8269401 485492
5652480 7816851 621448
675781 5489898 149170
2624830 7371047 88092
496532 5865180 189197
1531945 3079100 933862
2129048 5416485 433405
2437098 5460979 58447
7919389 8341857 169950
6532973 8512500 432687
591798 1162190 104879
384596 4742881 572048
1791277 3175024 585193
5650244 6960526 316504
3329531 7719434 338992
1322743 7966611 825053
846956 6092323 487894
6383534 8142300 779644
229269 7690501 690476
639132 2808952 685668
1222401 6301570 119234
6679766 7239001 130486
1805956 6133820 973789
3138131 4598673 664026
1471947 4514942 207825
834219 2797761 309663
4758736 6833905 572856
2057542 3830825 348490
603978 7759900 813906
2219023 4438845 847074
7322377 7480089 512952
6288614 6385932 453264
449019 1740537 483546
2053405 3429488 34750
6371560 8072329 336856
1524493 3562877 61752
4383657 4545880 736831
4664918 5494056 647322
4334349 5076147 276953
2832238 5450346 979639
4011378 6564684 952969
1505732 5860427 656080
4637746 5524508 310332
4519851 5609677 208427
4839966 4973854 586423
1069078 5057400 687848
1190246 8385577 229002
6208933 7160831 189483
194188 8078183 470246
7527336 8793325 737261
1316825 3940308 152999
354665 1663771 470427
1394610 4100217 34118
2008733 4612747 830149
1970339 5142284 636838
3311414 5385316 641960
4168771 4207671 961973
73847 2279400 311284
2632223 4443416 248963
2524298 5100510 106982
2157368 8263689 216383
2930385 7687853 516104
455251 2577844 956574
4384886 5812027 619538
6977556 8655287 875560
123024 1111646 27773
3478310 4620288 641131
6107892 6558537 545882
54765 6684854 415103
7939865 8063704 291239
4928783 7774236 574382
